% Moku:Go Logic Analyzer
% Pin 1 - A0 - Output 1
% Pin 2 - B0 - Output 1
% Pin 8 - C in - Output 1
% Pin 3 - S0 - Input
% Pin 4 - A1 - Output 1
% Pin 5 - B1 - Output 1
% Pin 6 - S1 - Input
% Pin 7 - C1 - Input
% Time span 28.94 ms, time offset -10.62 us
% Basic trigger, Auto mode, Pin 1, Rising edge
% Pattern Generator 1: 10 values, divider 200,000, baud rate 625
% Pattern Generator 2: 8 values, divider 125, baud rate 1,000,000
% 
% Acquired 2025-10-24 T 15:17:15 +0530
% Time (s), Pin 1 - A0, Pin 2 - B0, Pin 8 - C in, Pin 3 - S0, Pin 4 - A1, Pin 5 - B1, Pin 6 - S1, Pin 7 - C1
-1.445872000000e-02, 1, 0, 1, 0, 1, 0, 0, 1
-1.443040000000e-02, 1, 0, 1, 0, 1, 0, 0, 1
-1.440208000000e-02, 1, 0, 1, 0, 1, 0.5, 0.5, 1
-1.437376000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.434544000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.431712000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.428880000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.426048000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.423216000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.420384000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.417552000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.414720000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.411888000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.409056000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.406224000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.403392000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.400560000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.397728000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.394896000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.392064000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.389232000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.386400000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.383568000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.380736000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.377904000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.375072000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.372240000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.369408000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.366576000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.363744000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.360912000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.358080000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.355248000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.352416000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.349584000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.346752000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.343920000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.341088000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.338256000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.335424000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.332592000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.329760000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.326928000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.324096000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.321264000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.318432000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.315600000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.312768000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.309936000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.307104000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.304272000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.301440000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.298608000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.295776000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.292944000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.290112000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.287280000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.284448000000e-02, 1, 0, 1, 0, 1, 1, 1, 1
-1.281616000000e-02, 0.5, 0.5, 1, 0, 0.5, 1, 0.5, 0.5
-1.278784000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.275952000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.273120000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.270288000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.267456000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.264624000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.261792000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.258960000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.256128000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.253296000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.250464000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.247632000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.244800000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.241968000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.239136000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.236304000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.233472000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.230640000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.227808000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.224976000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.222144000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.219312000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.216480000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.213648000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.210816000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.207984000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.205152000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.202320000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.199488000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.196656000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.193824000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.190992000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.188160000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.185328000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.182496000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.179664000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.176832000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.174000000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.171168000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.168336000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.165504000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.162672000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.159840000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.157008000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.154176000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.151344000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.148512000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.145680000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.142848000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.140016000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.137184000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.134352000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.131520000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
