Frequency (Hz),Pin,Metastable Samples,Stable Samples,Metastability %
625,Pin 1 (A0),7,1016,0.6842619745845552
625,Pin 4 (A1),0,1023,0.0
625,Pin 5 (B1),11,1012,1.0752688172043012
625,Pin 8 (C in),15,1008,1.466275659824047
6250,Pin 1 (A0),73,950,7.1358748778103624
6250,Pin 4 (A1),0,1023,0.0
6250,Pin 5 (B1),109,914,10.654936461388074
6250,Pin 8 (C in),145,878,14.173998044965789
62500,Pin 1 (A0),724,299,70.772238514174
62500,Pin 4 (A1),0,1023,0.0
62500,Pin 5 (B1),850,173,83.088954056696
62500,Pin 8 (C in),977,46,95.50342130987292
625000,Pin 1 (A0),1023,0,100.0
625000,Pin 4 (A1),0,1023,0.0
625000,Pin 5 (B1),1023,0,100.0
625000,Pin 8 (C in),1023,0,100.0
